database/_name,database/__text,source-app/_name,source-app/__text,ref-type/_name,ref-type/__text,contributors/authors/author/0,contributors/authors/author/1,contributors/authors/author/2,contributors/authors/author/3,contributors/authors/author/4,contributors/authors/author/5,titles/title,periodical/full-title,pages,dates/year,dates/pub-dates/date,publisher,remote-database-name,urls/pdf-urls/url/0,urls/text-urls/url/0,custom3,contributors/authors/author/6,titles/secondary-title,volume,number,issue,titles/short-title,urls/text-urls/url/1,research-notes,custom2,contributors/authors/author/7,contributors/authors/author/8,contributors/authors/author/9,work-type,misc2,keywords/keyword/0,keywords/keyword/1,keywords/keyword/2,keywords/keyword/3,keywords/keyword/4,keywords/keyword/5,keywords/keyword/6,keywords/keyword/7,keywords/keyword/8,keywords/keyword/9,keywords/keyword/10,keywords/keyword/11,keywords/keyword/12,keywords/keyword/13,keywords/keyword/14,keywords/keyword/15,keywords/keyword/16,keywords/keyword/17,keywords/keyword/18,keywords/keyword/19,keywords/keyword/20,keywords/keyword/21,keywords/keyword/22,keywords/keyword/23,keywords/keyword/24,keywords/keyword/25,keywords/keyword/26,keywords/keyword/27,keywords/keyword/28,electronic-resource-num,abstract,keywords/keyword/29,keywords/keyword/30,keywords/keyword/31,keywords/keyword/32,keywords/keyword/33,keywords/keyword/34,keywords/keyword/35,keywords/keyword/36,keywords/keyword/37,keywords/keyword/38,keywords/keyword/39,keywords/keyword/40,keywords/keyword/41,keywords/keyword/42,urls/web-urls/url/0,access-date,isbn,custom1,misc1,language,contributors/authors/author/10,periodical/abbr-1,contributors/secondary-authors/author/0,contributors/secondary-authors/author/1,titles/tertiary-title,pub-location,keywords/keyword/43,keywords/keyword/44,contributors/secondary-authors/author/2,contributors/secondary-authors/author/3,contributors/secondary-authors/author/4,contributors/secondary-authors/author/5,contributors/secondary-authors/author/6,contributors/secondary-authors/author/7,contributors/secondary-authors/author/8,contributors/secondary-authors/author/9,contributors/secondary-authors/author/10,contributors/secondary-authors/author/11,contributors/authors/author/11,contributors/authors/author/12,contributors/authors/author/13,contributors/authors/author/14,contributors/authors/author/15,contributors/authors/author/16,contributors/authors/author/17,contributors/authors/author/18,contributors/authors/author/19,contributors/authors/author/20,contributors/authors/author/21,contributors/authors/author/22,contributors/authors/author/23,contributors/tertiary-authors/author/0
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Gurdan, Daniel","Stumpf, Jan","Achtelik, Michael","Doth, Klaus-Michael","Hirzinger, Gerd","Rus, Daniela",Energy-efficient autonomous four-rotor flying robot controlled at 1 kHz,Proceedings 2007 IEEE International Conference on Robotics and Automation,361–366,2007,2007,IEEE,Google Scholar,C:\Users\StanS\Zotero\storage\KPIJXYAG\Gurdan et al. - 2007 - Energy-efficient autonomous four-rotor flying robo.pdf,C:\Users\StanS\Zotero\storage\BVGJBCES\4209118.html,Proceedings 2007 IEEE International Conference on Robotics and Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Chan, Hoi","Connell, Jonathan","Isci, Canturk","Kephart, Jeffrey O.","Lenchner, Jonathan","Mansley, Christopher",A robot as mobile sensor and agent in data center energy management,Proceedings of the 8th ACM international conference on Autonomic computing,165–166,2011,2011,,Google Scholar,C:\Users\StanS\Zotero\storage\ZT8KN3H7\Chan et al. - 2011 - A robot as mobile sensor and agent in data center .pdf,C:\Users\StanS\Zotero\storage\8V83CFQR\1998582.html,Proceedings of the 8th ACM international conference on Autonomic computing,"McIntosh, Suzanne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Guo, Rui","Li, Bingqiang","Sun, Yutian","Han, Lei",,,A patrol robot for electric power substation,2009 International Conference on Mechatronics and Automation,55–59,2009,2009,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\DMTFJ3H2\5245105.html,2009 International Conference on Mechatronics and Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Montambault, Serge","Pouliot, Nicolas",,,,,Design and validation of a mobile robot for power line inspection and maintenance,Field and Service Robotics,495–504,2008,2008,Springer,Google Scholar,,C:\Users\StanS\Zotero\storage\NHNF83ZE\978-3-540-75404-6_47.html,Field and Service Robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Vergnano, Alberto","Thorstensson, Carl","Lennartson, Bengt","Falkman, Petter","Pellicciari, Marcello","Leali, Francesco",Modeling and optimization of energy consumption in cooperative multi-robot systems,IEEE Transactions on Automation Science and Engineering,423–428,2012,2012,,Google Scholar,,C:\Users\StanS\Zotero\storage\YT3P7Y3C\6140609.html,,"Biller, Stephan",IEEE Transactions on Automation Science and Engineering,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Paes, Koen","Dewulf, Wim","Vander Elst, Karel","Kellens, Karel","Slaets, Peter",,Energy efficient trajectories for an industrial ABB robot,Procedia Cirp,105–110,2014,2014,,Google Scholar,,C:\Users\StanS\Zotero\storage\975SZFNF\S2212827114004661.html,,,Procedia Cirp,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Zhou, F. Y.","Wang, J. D.","Li, Y. B.","Wang, J.","Xiao, H. R.",,Control of an inspection robot for 110KV power transmission lines based on expert system design methods,"Proceedings of 2005 IEEE Conference on Control Applications, 2005. CCA 2005.",1563–1568,2005,2005,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\A8ZMHGFN\1507355.html,"Proceedings of 2005 IEEE Conference on Control Applications, 2005. CCA 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Lucas, Nestor","Codrea, Cosmin","Hirth, Thomas","Gutierrez, Javier","Dressler, Falko",,RoBM2: measurement of battery capacity in mobile robot systems,"GI/ITG KuVS Fachgespräch Energiebewusste Systeme und Methoden, Erlangen, Germany",13–18,2005,2005,,Google Scholar,C:\Users\StanS\Zotero\storage\F2T3Y64R\Lucas et al. - 2005 - RoBM2 measurement of battery capacity in mobile r.pdf,,,,"GI/ITG KuVS Fachgespräch Energiebewusste Systeme und Methoden, Erlangen, Germany",,,,RoBM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Pinto, José Kleber da Cunha","Masuda, M.","Magrini, Luiz Carlos","Jardini, José Antonio","Garbelloti, M. V.",,Mobile robot for hot spot monitoring in electric power substation,2008 IEEE/PES Transmission and Distribution Conference and Exposition,1–5,2008,2008,IEEE,Google Scholar,C:\Users\StanS\Zotero\storage\NRT2EI2H\Pinto et al. - 2008 - Mobile robot for hot spot monitoring in electric p.pdf,C:\Users\StanS\Zotero\storage\ZM9T3X34\4517245.html,2008 IEEE/PES Transmission and Distribution Conference and Exposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Montambault, Serge","Pouliot, Nicolas",,,,,Design and validation of a mobile robot for power line inspection and maintenance,,,2007,2007,,Google Scholar,C:\Users\StanS\Zotero\storage\DJWZMC3Z\Montambault and Pouliot - 2007 - Design and validation of a mobile robot for power .pdf,C:\Users\StanS\Zotero\storage\MDHEJVXZ\inria-00194717.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
