,Title,Item Type,Publication Year,Author
0,Robot Cloud: Bridging the power of robotics and cloud computing,journalArticle,2017.0,"Du, Zhihui; He, Ligang; Chen, Yinong; Xiao, Yu; Gao, Peng; Wang, Tongzhou"
1,Noncontact power supply for seafloor geodetic observing robot system,journalArticle,2007.0,"Han, Jun; Asada, Akira; Ura, Tamaki; Yamauchi, Yukinaga; Yagita, Yasunobu; Maki, Toshihiko"
2,Power line inspection with a flying robot,conferencePaper,2010.0,"Wang, Binhai; Chen, Xiguang; Wang, Qian; Liu, Liang; Zhang, Hailong; Li, Bingqiang"
3,The Realization of the Industrial Revolving Tubular Kiln Liner Cleaning Robot System Dynamic Simulation by Power Bonding Diagram and SIMULINK Software [J],journalArticle,2005.0,"CAI, Gai-pin; HUANG, Zhi-qing"
4,Energy-efficient mobile robot exploration,conferencePaper,2006.0,"Mei, Yongguo; Lu, Yung-Hsiang; Lee, CS George; Hu, Y. Charlie"
5,New robot for power line inspection,conferencePaper,2008.0,"Katrasnik, Jaka; Pernus, Franjo; Likar, Bostjan"
6,Design and control of a tracked robot for search and rescue in nuclear power plant,conferencePaper,2016.0,"Dong, Pengfei; Wang, Xuezhu; Xing, Hongjun; Liu, Yiqun; Zhang, Meiling"
7,Autonomous inspection robot for power transmission lines maintenance while operating on the overhead ground wires,journalArticle,2010.0,"Li, Zheng; Ruan, Yi"
8,Truly autonomous robots: hardware design for an energy trophallactic robot,journalArticle,2008.0,"Ngo, Trung Dung; Schiøler, Henrik"
9,Energy and peak power optimization of time-bounded robot trajectories,journalArticle,2017.0,"Riazi, Sarmad; Wigström, Oskar; Bengtsson, Kristofer; Lennartson, Bengt"
10,Design and validation of a mobile robot for power line inspection and maintenance,conferencePaper,2007.0,"Montambault, Serge; Pouliot, Nicolas"
11,Energy efficient trajectories for an industrial ABB robot,journalArticle,2014.0,"Paes, Koen; Dewulf, Wim; Vander Elst, Karel; Kellens, Karel; Slaets, Peter"
12,A robot as mobile sensor and agent in data center energy management,conferencePaper,2011.0,"Chan, Hoi; Connell, Jonathan; Isci, Canturk; Kephart, Jeffrey O.; Lenchner, Jonathan; Mansley, Christopher; McIntosh, Suzanne"
13,Mobile robot for hot spot monitoring in electric power substation,conferencePaper,2008.0,"Pinto, José Kleber da Cunha; Masuda, M.; Magrini, Luiz Carlos; Jardini, José Antonio; Garbelloti, M. V."
14,Energy-efficient autonomous four-rotor flying robot controlled at 1 kHz,conferencePaper,2007.0,"Gurdan, Daniel; Stumpf, Jan; Achtelik, Michael; Doth, Klaus-Michael; Hirzinger, Gerd; Rus, Daniela"
15,RoBM2: measurement of battery capacity in mobile robot systems,journalArticle,2005.0,"Lucas, Nestor; Codrea, Cosmin; Hirth, Thomas; Gutierrez, Javier; Dressler, Falko"
16,Control of an inspection robot for 110KV power transmission lines based on expert system design methods,conferencePaper,2005.0,"Zhou, F. Y.; Wang, J. D.; Li, Y. B.; Wang, J.; Xiao, H. R."
17,Modeling and optimization of energy consumption in cooperative multi-robot systems,journalArticle,2012.0,"Vergnano, Alberto; Thorstensson, Carl; Lennartson, Bengt; Falkman, Petter; Pellicciari, Marcello; Leali, Francesco; Biller, Stephan"
18,A patrol robot for electric power substation,conferencePaper,2009.0,"Guo, Rui; Li, Bingqiang; Sun, Yutian; Han, Lei"
19,Design and validation of a mobile robot for power line inspection and maintenance,conferencePaper,2008.0,"Montambault, Serge; Pouliot, Nicolas"
20,Energy and cycle time efficiency based method for robot positioning,patent,2015.0,"Embon, Lisandro; Hazan, Moshe; Madvil, Rahav"
21,"Interactive compute-control of a six-legged robot vehicle with optimization of stability, terrain adaptibility and energy",conferencePaper,1976.0,"Orin, David E.; McGhee, Robert B.; Jaswa, V. C."
22,Minimizing energy consumption for robot arm movement,journalArticle,2014.0,"Mohammed, Abdullah; Schmidt, Bernard; Wang, Lihui; Gao, Liang"
23,Robot-Server Architecture for Optimizing Solar Panel Power Output,journalArticle,2016.0,"Ramos, Ernesto Zamora; Ramos, Maria; Moutafis, Konstantinos; Yfantis, Evangelos A."
24,GA-based search for paths with minimum energy consumption for mobile robot systems,conferencePaper,2001.0,"Gemeinder, Marcus; Gerke, Michael"
25,Mechanical energy optimization in trajectory planning for six DOF robot manipulators based on eighth-degree polynomial functions and a genetic algorithm,conferencePaper,2010.0,"Bailón, W. Pérez; Cardiel, E. Barrera; Campos, I. Juárez; Paz, A. Ramos"
26,POLIBOT–POwer Lines Inspection RoBOT,journalArticle,2018.0,"Lima, Eduardo José; Bomfim, Marcelo Henrique Souza; de Miranda Mourão, Miguel Augusto"
27,High tractive power wall-climbing robot,journalArticle,1995.0,"Bach, Fr-W.; Rachkov, M.; Seevers, J.; Hahn, M."
28,Realistic humanoid robot simulation with an optimized controller: a power consumption minimization approach,bookSection,2008.0,"LIMA, JOSÉ L.; GONÇALVES, JOSÉ C.; COSTA, PAULO J.; MOREIRA, A. PAULO"
29,An EMG-based control for an upper-limb power-assist exoskeleton robot,journalArticle,2012.0,"Kiguchi, Kazuo; Hayashi, Yoshiaki"
30,Establishing stiffness of prismatic pair in fully compliant parallel micro-robot using energy method [J],journalArticle,2005.0,"YANG, Qi-zhi; YIN, Xiao-gin; MA, Lu-zhong; DU, Sheng-chao"
31,Multisensor based power diagnosis system for an intelligent robot,conferencePaper,2003.0,"Luo, R. C.; Su, K. L.; Deng, C. W."
32,Simulation of power consumption for walking robot,conferencePaper,2005.0,"Siregar, H. P."
33,A study of energy-saving shoes for robot considering lateral plane motion,journalArticle,2008.0,"Minakata, Hideaki; Seki, Hirokazu; Tadakuma, Susumu"
34,A novel design of inspection robot for high-voltage power lines,journalArticle,2014.0,"Mostashfi, A.; Fakhari, A.; Badri, Mohammad Ali"
