,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,i1,i2,i3,i4,i5,e1,e2,e3,e4,e5
0,6BH5WM7V,journalArticle,2017.0,"Du, Zhihui; He, Ligang; Chen, Yinong; Xiao, Yu; Gao, Peng; Wang, Tongzhou",Robot Cloud: Bridging the power of robotics and cloud computing,Future Generation Computer Systems,,,,,,2017,2020-03-29 14:47:22,2020-03-29 14:47:22,,337–348,,,74.0,,,Robot Cloud,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\DQWMSKZZ\S0167739X16000042.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
1,CAV3PKJB,journalArticle,2007.0,"Han, Jun; Asada, Akira; Ura, Tamaki; Yamauchi, Yukinaga; Yagita, Yasunobu; Maki, Toshihiko",Noncontact power supply for seafloor geodetic observing robot system,Journal of marine science and technology,,,,,,2007,2020-03-29 14:47:22,2020-03-29 14:47:22,,183–189,,3,12.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Springer,,C:\Users\StanS\Zotero\storage\EYQTB9M4\s00773-006-0235-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
2,LCA5ZRZQ,conferencePaper,2010.0,"Wang, Binhai; Chen, Xiguang; Wang, Qian; Liu, Liang; Zhang, Hailong; Li, Bingqiang",Power line inspection with a flying robot,2010 1st International Conference on Applied Robotics for the Power Industry,,,,,,2010,2020-03-29 14:47:22,2020-03-29 14:47:22,,1–6,,,,,,,,,,,Ieee,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\X54HV9NI\5624430.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
3,8YQZGJKS,journalArticle,2005.0,"CAI, Gai-pin; HUANG, Zhi-qing",The Realization of the Industrial Revolving Tubular Kiln Liner Cleaning Robot System Dynamic Simulation by Power Bonding Diagram and SIMULINK Software [J],Machine Tool & Hydraulics,,,,,,2005,2020-03-29 14:47:22,2020-03-29 14:47:22,,,,,2.0,,,,,,,,,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\Z3V9Q7YS\CJFDTotal-JCYY20050201D.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
4,GK66MU6T,conferencePaper,2006.0,"Mei, Yongguo; Lu, Yung-Hsiang; Lee, CS George; Hu, Y. Charlie",Energy-efficient mobile robot exploration,"Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.",,,,,,2006,2020-03-29 14:47:22,2020-03-29 14:47:22,,505–511,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\C8WTLJLG\Mei et al. - 2006 - Energy-efficient mobile robot exploration.pdf; C:\Users\StanS\Zotero\storage\64USXJJ8\1641761.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
5,ZGTSYZW3,conferencePaper,2008.0,"Katrasnik, Jaka; Pernus, Franjo; Likar, Bostjan",New robot for power line inspection,"2008 IEEE Conference on Robotics, Automation and Mechatronics",,,,,,2008,2020-03-29 14:47:22,2020-03-29 14:47:22,,1195–1200,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\HYU3VKFL\4681335.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
6,NEDPNXGK,conferencePaper,2016.0,"Dong, Pengfei; Wang, Xuezhu; Xing, Hongjun; Liu, Yiqun; Zhang, Meiling",Design and control of a tracked robot for search and rescue in nuclear power plant,2016 International Conference on Advanced Robotics and Mechatronics (ICARM),,,,,,2016,2020-03-29 14:47:22,2020-03-29 14:47:22,,330–335,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\USCHJIM4\7606941.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
7,7Q3RHEZQ,journalArticle,2010.0,"Li, Zheng; Ruan, Yi",Autonomous inspection robot for power transmission lines maintenance while operating on the overhead ground wires,International Journal of Advanced Robotic Systems,,,,,,2010,2020-03-29 14:47:22,2020-03-29 14:47:22,,25,,4,7.0,,,,,,,,,,,,,,,Google Scholar,,"Publisher: SAGE Publications Sage UK: London, England",,C:\Users\StanS\Zotero\storage\MSTMP7TF\10497.html; C:\Users\StanS\Zotero\storage\UXDLHBG9\10497.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
8,SL9LQ8LA,journalArticle,2008.0,"Ngo, Trung Dung; Schiøler, Henrik",Truly autonomous robots: hardware design for an energy trophallactic robot,Artificial Life and Robotics,,,,,,2008,2020-03-29 14:47:22,2020-03-29 14:47:22,,335–345,,1-2,12.0,,,Truly autonomous robots,,,,,,,,,,,,Google Scholar,,Publisher: Springer,,C:\Users\StanS\Zotero\storage\SILPHAHL\Ngo and Schiøler - 2008 - Truly autonomous robots hardware design for an en.pdf; C:\Users\StanS\Zotero\storage\8WD8B9TY\s10015-007-0495-z.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
9,MMG79GRQ,journalArticle,2017.0,"Riazi, Sarmad; Wigström, Oskar; Bengtsson, Kristofer; Lennartson, Bengt",Energy and peak power optimization of time-bounded robot trajectories,IEEE Transactions on Automation Science and Engineering,,,,,,2017,2020-03-29 14:47:22,2020-03-29 14:47:22,,646–657,,2,14.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: IEEE,,C:\Users\StanS\Zotero\storage\XI9JLSPU\7831386.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
