"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XENBJP9B","conferencePaper","2008","Borgstrom, Per Henrik; Singh, Amarjeet; Jordan, Brett L.; Sukhatme, Gaurav S.; Batalin, Maxim A.; Kaiser, William J.","Energy based path planning for a novel cabled robotic system","2008 IEEE/RSJ International Conference on Intelligent Robots and Systems","","","","","","2008","2020-04-14 12:21:43","2020-04-14 12:21:43","","1745–1751","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\26M89VLE\Borgstrom et al. - 2008 - Energy based path planning for a novel cabled robo.pdf; C:\Users\StanS\Zotero\storage\2IQQZT8Z\4651019.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JTXRBSV","conferencePaper","2011","Rassõlkin, Anton; Hõimoja, Hardi; Teemets, Raivo","Energy saving possibilities in the industrial robot IRB 1600 control","2011 7th International Conference-Workshop Compatibility and Power Electronics (CPE)","","","","","","2011","2020-04-14 12:21:58","2020-04-14 12:21:58","","226–229","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\7AP26BY6\Rassõlkin et al. - 2011 - Energy saving possibilities in the industrial robo.pdf; C:\Users\StanS\Zotero\storage\BWWI89I8\5942236.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7Q37UI9S","journalArticle","2014","Salan, Serge; Drumwright, Evan; Lin, King-Ip","Minimum-energy robotic exploration: A formulation and an approach","IEEE Transactions on Systems, Man, and Cybernetics: Systems","","","","","","2014","2020-04-14 12:22:21","2020-04-14 12:22:21","","175–182","","1","45","","","Minimum-energy robotic exploration","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\PZA6KEI5\6851171.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWUMUWPQ","thesis","2007","Mei, Yongguo","Energy-efficient mobile robots","","","","","","","2007","2020-04-14 12:22:59","2020-04-14 12:22:59","","","","","","","","","","","","","Purdue University","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\UIZWDN8L\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BW8CFLUP","journalArticle","2016","Henkel, Christian; Bubeck, Alexander; Xu, Weiliang","Energy efficient dynamic window approach for local path planning in mobile service robotics","IFAC-PapersOnLine","","","","","","2016","2020-04-14 12:22:59","2020-04-14 12:22:59","","32–37","","15","49","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\T82ZIC77\S2405896316308813.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QM8DTAQ","conferencePaper","2016","Bartlett, Oliver; Gurau, Corina; Marchegiani, Letizia; Posner, Ingmar","Enabling intelligent energy management for robots using publicly available maps","2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","","","","","2016","2020-04-14 12:23:20","2020-04-14 12:23:20","","2224–2229","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\3QTXK734\Bartlett et al. - 2016 - Enabling intelligent energy management for robots .pdf; C:\Users\StanS\Zotero\storage\2DPHPAEP\7759348.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5K5ZCUY","conferencePaper","2016","Rappaport, Micha","Energy-aware mobile robot exploration with adaptive decision thresholds","Proceedings of ISR 2016: 47st International Symposium on Robotics","","","","","","2016","2020-04-14 12:23:20","2020-04-14 12:23:20","","1–8","","","","","","","","","","","VDE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\M5AH752A\Rappaport - 2016 - Energy-aware mobile robot exploration with adaptiv.pdf; C:\Users\StanS\Zotero\storage\SH3RRB8M\7559122.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRT2IS7G","conferencePaper","2013","Ogunniyi, Samuel; Tsoeu, Mohohlo S.","Q-learning based energy efficient path planning using weights","24th Symposium of the Pattern Recognition Association of South Africa","","","","","","2013","2020-04-14 12:23:56","2020-04-14 12:23:56","","76–82","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\8XWXUCVN\Ogunniyi and Tsoeu - 2013 - Q-learning based energy efficient path planning us.pdf; C:\Users\StanS\Zotero\storage\5SD4DZRW\Q-learning-based-energy-efficient-path-planning-using-weights.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8IP73RF","journalArticle","2012","Kottas, Apostolos Dimitrios","Energy-efficient designs and principles for miniature mobile robotic systems.","","","","","","","2012","2020-04-14 12:24:36","2020-04-14 12:24:36","","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\XBFDQUFB\Kottas - 2012 - Energy-efficient designs and principles for miniat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXTI5UZ7","journalArticle","2019","Wu, Lingying; Sugiyama, Ayumi; Sugawara, Toshiharu","Energy-efficient strategies for multi-agent continuous cooperative patrolling problems","Procedia Computer Science","","","","","","2019","2020-04-14 12:24:36","2020-04-14 12:24:36","","465–474","","","159","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQ26V5S9","book","2013","Salan, Serge Antoun","Minimum-energy exploration and coverage for robotic systems","","","","","","","2013","2020-04-14 12:25:23","2020-04-14 12:25:23","","","","","","","","","","","","","The University of Memphis","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\NLNVE8B4\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3SPAG2M","journalArticle","2019","Benkrid, Abdenour; Benallegue, Abdelaziz; Achour, Noura","Multi-robot Coordination for Energy-Efficient Exploration","Journal of Control, Automation and Electrical Systems","","","","","","2019","2020-04-14 12:25:23","2020-04-14 12:25:23","","911–920","","6","30","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\StanS\Zotero\storage\8JCEPW3I\s40313-019-00508-4.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRA9R8TS","conferencePaper","2012","Patel, Sonali; Shukla, Anupam; Tiwari, Ritu","Efficient strategy for co-ordinated multirobot exploration","Proceedings of the Second International Conference on Computational Science, Engineering and Information Technology","","","","","","2012","2020-04-14 12:25:23","2020-04-14 12:25:23","","105–111","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\DL5R5VVM\2393216.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGAZNXPG","conferencePaper","2012","Patel, Sonali; Tiwari, Ritu; Shukla, Anupam","An energy efficient platform for mobile robot","AIP Conference Proceedings","","","","","","2012","2020-04-14 12:25:45","2020-04-14 12:25:45","","90–95","","","1499","","","","","","","","American Institute of Physics","","","","","","","Google Scholar","","Issue: 1","","C:\Users\StanS\Zotero\storage\AE8RMUJU\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
