"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SN9QLFVM","conferencePaper","2016","Benkrid, Abdenour; Benallegue, Abdelaziz; Achour, Noura","Robot's energy consumption based multi-robot exploration strategy","2016 IEEE International Conference on Robotics and Biomimetics (ROBIO)","","","","","","2016","2020-04-07 11:57:50","2020-04-07 11:57:50","","1129–1134","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\6X7PFR9D\7866477.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCVUEFIU","journalArticle","2011","Puig, Domenec; García, Miguel Angel; Wu, L.","A new global optimization strategy for coordinated multi-robot exploration: Development and comparative evaluation","Robotics and Autonomous Systems","","","","","","2011","2020-04-07 12:06:15","2020-04-07 12:06:15","","635–653","","9","59","","","A new global optimization strategy for coordinated multi-robot exploration","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\8J5GBHAP\S0921889011000881.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NDLPMD6","conferencePaper","2009","Karnouskos, Stamatis; Colombo, Armando Walter; Lastra, Jose L. Martinez; Popescu, Corina","Towards the energy efficient future factory","2009 7th IEEE International Conference on Industrial Informatics","","","","","","2009","2020-04-07 12:19:54","2020-04-07 12:19:54","","367–371","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\ZCTTAN4M\Karnouskos et al. - 2009 - Towards the energy efficient future factory.pdf; C:\Users\StanS\Zotero\storage\LG2799IU\5195832.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N3WSCPHD","journalArticle","2017","Carabin, Giovanni; Wehrle, Erich; Vidoni, Renato","A review on energy-saving optimization methods for robotic and automatic systems","Robotics","","","","","","2017","2020-04-07 12:23:41","2020-04-07 12:23:41","","39","","4","6","","","","","","","","","","","","","","","Google Scholar","","Publisher: Multidisciplinary Digital Publishing Institute","","C:\Users\StanS\Zotero\storage\IZM9KNIY\Carabin et al. - 2017 - A review on energy-saving optimization methods for.pdf; C:\Users\StanS\Zotero\storage\WIPGA7JC\39.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TLMKA8PC","journalArticle","2013","Pellicciari, Marcello; Berselli, Giovanni; Leali, Francesco; Vergnano, Alberto","A method for reducing the energy consumption of pick-and-place industrial robots","Mechatronics","","","","","","2013","2020-04-07 12:25:14","2020-04-07 12:25:14","","326–334","","3","23","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\L8NQINDV\S0957415813000263.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6SB6EC8L","journalArticle","2015","Pellegrinelli, Stefania; Borgia, Stefano; Pedrocchi, Nicola; Villagrossi, Enrico; Bianchi, Giacomo; Tosatti, Lorenzo Molinari","Minimization of the energy consumption in motion planning for single-robot tasks","Procedia Cirp","","","","","","2015","2020-04-07 12:26:40","2020-04-07 12:26:40","","354–359","","","29","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\C8VHRFIJ\S2212827115004886.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Z9TY6HA","journalArticle","2015","Brossog, Matthias; Bornschlegl, Martin; Franke, Jörg","Reducing the energy consumption of industrial robots in manufacturing systems","The International Journal of Advanced Manufacturing Technology","","","","","","2015","2020-04-07 12:26:59","2020-04-07 12:26:59","","1315–1328","","5-8","78","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\StanS\Zotero\storage\57I6CUSG\s00170-014-6737-z.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26ECU8KV","journalArticle","2019","Gadaleta, Michele; Pellicciari, Marcello; Berselli, Giovanni","Optimization of the energy consumption of industrial robots for automatic code generation","Robotics and Computer-Integrated Manufacturing","","","","","","2019","2020-04-07 12:27:13","2020-04-07 12:27:13","","452–464","","","57","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\9TNYWJRJ\Gadaleta et al. - 2019 - Optimization of the energy consumption of industri.pdf; C:\Users\StanS\Zotero\storage\BSG52SEA\S0736584518301856.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUVJIB22","journalArticle","2016","Bukata, Libor; Š\uucha, Přemysl; Hanzálek, Zdeněk; Burget, Pavel","Energy optimization of robotic cells","IEEE Transactions on Industrial Informatics","","","","","","2016","2020-04-07 12:30:00","2020-04-07 12:30:00","","92–102","","1","13","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\PSE9FBV5\Bukata et al. - 2016 - Energy optimization of robotic cells.pdf; C:\Users\StanS\Zotero\storage\8F25DWTI\7738397.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47WMULEZ","conferencePaper","2004","Mei, Yongguo; Lu, Yung-Hsiang; Hu, Y. Charlie; Lee, CS George","Energy-efficient motion planning for mobile robots","IEEE International Conference on Robotics and Automation, 2004. Proceedings. ICRA'04. 2004","","","","","","2004","2020-04-07 12:30:40","2020-04-07 12:30:40","","4344–4349","","","5","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\ZV42S6PA\Mei et al. - 2004 - Energy-efficient motion planning for mobile robots.pdf; C:\Users\StanS\Zotero\storage\VF6V6HSE\1302401.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R39AJHIR","journalArticle","2003","Rakhmatov, Daler; Vrudhula, Sarma","Energy management for battery-powered embedded systems","ACM Transactions on Embedded Computing Systems (TECS)","","","","","","2003","2020-04-07 12:35:19","2020-04-07 12:35:19","","277–324","","3","2","","","","","","","","","","","","","","","Google Scholar","","Publisher: ACM New York, NY, USA","","C:\Users\StanS\Zotero\storage\WDLXYVB5\860176.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
